dataset,scenario,warm_time_sec,cold_time_sec,cold_over_warm,warm_basis_loads,warm_diff_updates,warm_rebuilds,warm_rebuild_ratio,cold_diff_updates,cold_rebuilds
wh_20x20-5-5-1-0,wh_20x20-5-5-1-0.scen,0.045,0.044,0.978x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-10.scen,0.076,0.073,0.961x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-1.scen,0.061,0.040,0.656x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-2.scen,0.052,0.053,1.019x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-3.scen,0.062,0.067,1.081x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-4.scen,0.019,0.018,0.947x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-5.scen,0.061,0.060,0.984x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-6.scen,0.037,0.036,0.973x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-7.scen,0.054,0.049,0.907x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-8.scen,0.071,0.063,0.887x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-9.scen,0.054,0.056,1.037x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-0.scen,0.126,0.124,0.984x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-10.scen,0.113,0.102,0.903x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-1.scen,0.113,0.114,1.009x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-2.scen,0.110,0.106,0.964x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-3.scen,0.131,0.123,0.939x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-4.scen,0.097,0.098,1.010x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-5.scen,0.103,0.100,0.971x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-6.scen,0.121,0.115,0.950x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-7.scen,0.132,0.123,0.932x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-8.scen,0.091,0.087,0.956x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-9.scen,0.101,0.114,1.129x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-0.scen,0.759,0.792,1.043x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-10.scen,1.084,1.890,1.744x,3,3,1,0.250,0,4
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-1.scen,0.791,0.783,0.990x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-2.scen,1.103,1.686,1.529x,3,3,1,0.250,0,4
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-3.scen,0.703,0.665,0.946x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-4.scen,0.763,0.737,0.966x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-5.scen,0.630,0.590,0.937x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-6.scen,0.593,0.614,1.035x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-7.scen,1.797,3.915,2.179x,8,9,1,0.100,0,10
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-8.scen,0.605,0.574,0.949x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-9.scen,0.620,0.560,0.903x,0,0,1,1.000,0,1
wh_40x40-12-14-8-0,wh_40x40-12-14-8-0.scen,3.333,3.474,1.042x,0,0,1,1.000,0,1
wh_40x40-12-14-8-0,wh_40x40-12-14-8-10.scen,3.655,3.681,1.007x,0,0,1,1.000,0,1
wh_40x40-12-14-8-0,wh_40x40-12-14-8-1.scen,3.074,3.017,0.981x,0,0,1,1.000,0,1
wh_40x40-12-14-8-0,wh_40x40-12-14-8-2.scen,-,-,-,0,0,1,1.000,0,1
wh_40x40-12-14-8-0,wh_40x40-12-14-8-3.scen,3.071,3.181,1.036x,0,0,1,1.000,0,1
wh_40x40-12-14-8-0,wh_40x40-12-14-8-4.scen,-,-,-,0,0,1,1.000,0,1
wh_40x40-12-14-8-0,wh_40x40-12-14-8-5.scen,3.217,3.355,1.043x,0,0,1,1.000,0,1
