dataset,scenario,warm_time_sec,cold_time_sec,cold_over_warm,warm_basis_loads,warm_diff_updates,warm_rebuilds,warm_rebuild_ratio,cold_diff_updates,cold_rebuilds
wh_20x20-5-5-1-0,wh_20x20-5-5-1-0.scen,0.054,0.066,1.222x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-10.scen,0.080,0.081,1.012x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-1.scen,0.046,0.042,0.913x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-2.scen,0.059,0.055,0.932x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-3.scen,0.066,0.067,1.015x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-4.scen,0.018,0.019,1.056x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-5.scen,0.061,0.061,1.000x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-6.scen,0.042,0.038,0.905x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-7.scen,0.052,0.054,1.038x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-8.scen,0.069,0.073,1.058x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-9.scen,0.060,0.068,1.133x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-0.scen,0.141,0.155,1.099x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-10.scen,0.119,0.115,0.966x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-1.scen,0.117,0.120,1.026x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-2.scen,0.129,0.123,0.953x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-3.scen,0.144,0.151,1.049x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-4.scen,0.130,0.101,0.777x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-5.scen,0.102,0.102,1.000x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-6.scen,0.165,0.119,0.721x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-7.scen,0.128,0.130,1.016x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-8.scen,0.098,0.101,1.031x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-9.scen,0.117,0.116,0.991x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-0.scen,0.898,0.932,1.038x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-10.scen,1.012,2.009,1.985x,3,3,1,0.250,0,4
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-1.scen,0.818,0.876,1.071x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-2.scen,1.134,1.849,1.631x,3,3,1,0.250,0,4
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-3.scen,0.698,0.729,1.044x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-4.scen,0.815,0.828,1.016x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-5.scen,0.690,0.645,0.935x,0,0,1,1.000,0,1
