dataset,scenario,warm_time_sec,cold_time_sec,cold_over_warm,warm_basis_loads,warm_diff_updates,warm_rebuilds,warm_rebuild_ratio,cold_diff_updates,cold_rebuilds
wh_20x20-5-5-1-0,wh_20x20-5-5-1-0.scen,0.037,0.037,1.000x,0,0,2,1.000,0,2
wh_20x20-5-5-1-0,wh_20x20-5-5-1-10.scen,0.052,0.055,1.058x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-1.scen,0.022,0.031,1.409x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-2.scen,0.056,0.058,1.036x,0,0,2,1.000,0,2
wh_20x20-5-5-1-0,wh_20x20-5-5-1-3.scen,0.043,0.042,0.977x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-4.scen,0.008,0.007,0.875x,0,0,2,1.000,0,2
wh_20x20-5-5-1-0,wh_20x20-5-5-1-5.scen,0.042,0.038,0.905x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-6.scen,0.018,0.017,0.944x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-7.scen,0.032,0.033,1.031x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-8.scen,0.044,0.045,1.023x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-9.scen,0.039,0.041,1.051x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-0.scen,0.121,0.117,0.967x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-10.scen,0.087,0.086,0.989x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-1.scen,0.110,0.103,0.936x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-2.scen,0.093,0.099,1.065x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-3.scen,0.127,0.126,0.992x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-4.scen,0.187,0.162,0.866x,1,1,2,0.667,1,2
wh_20x20-7-8-4-0,wh_20x20-7-8-4-5.scen,0.085,0.092,1.082x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-6.scen,0.111,0.109,0.982x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-7.scen,0.118,0.116,0.983x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-8.scen,0.080,0.075,0.938x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-9.scen,0.098,0.094,0.959x,0,0,1,1.000,0,1
