dataset,scenario,warm_time_sec,cold_time_sec,cold_over_warm,warm_basis_loads,warm_diff_updates,warm_rebuilds,warm_rebuild_ratio,cold_diff_updates,cold_rebuilds
wh_20x20-5-5-1-0,wh_20x20-5-5-1-0.scen,0.048,0.047,0.979x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-10.scen,0.079,0.067,0.848x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-1.scen,0.040,0.048,1.200x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-2.scen,0.055,0.052,0.945x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-3.scen,0.060,0.061,1.017x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-4.scen,0.018,0.018,1.000x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-5.scen,0.056,0.055,0.982x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-6.scen,0.037,0.059,1.595x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-7.scen,0.051,0.056,1.098x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-8.scen,0.067,0.073,1.090x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-9.scen,0.061,0.058,0.951x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-0.scen,0.139,0.121,0.871x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-10.scen,0.097,0.101,1.041x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-1.scen,0.117,0.112,0.957x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-2.scen,0.108,0.104,0.963x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-3.scen,0.127,0.123,0.969x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-4.scen,0.094,0.095,1.011x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-5.scen,0.103,0.095,0.922x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-6.scen,0.115,0.114,0.991x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-7.scen,0.122,0.122,1.000x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-8.scen,0.088,0.097,1.102x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-9.scen,0.103,0.103,1.000x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-0.scen,0.828,0.772,0.932x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-10.scen,0.964,0.912,0.946x,3,3,1,0.250,3,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-1.scen,0.803,0.774,0.964x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-2.scen,1.151,1.209,1.050x,3,3,1,0.250,3,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-3.scen,0.762,0.788,1.034x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-4.scen,0.880,0.822,0.934x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-5.scen,0.672,0.690,1.027x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-6.scen,0.680,0.649,0.954x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-7.scen,1.952,1.678,0.860x,8,9,1,0.100,9,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-8.scen,0.613,0.678,1.106x,0,0,1,1.000,0,1
wh_30x30-9-10-5-0,wh_30x30-9-10-5-0-9.scen,0.622,0.640,1.029x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-0.scen,0.004,0.004,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-10.scen,0.006,0.007,1.167x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-1.scen,0.003,0.003,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-2.scen,0.009,0.009,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-3.scen,0.002,0.002,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-4.scen,0.005,0.004,0.800x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-5.scen,0.010,0.011,1.100x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-6.scen,0.006,0.006,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-7.scen,0.008,0.008,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-8.scen,0.005,0.005,1.000x,0,0,1,1.000,0,1
wh_8x8-5-5-1-3,wh_8x8-5-5-1-9.scen,0.007,0.007,1.000x,0,0,1,1.000,0,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-0.scen,0.915,0.919,1.004x,145,162,1,0.006,162,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-10.scen,0.003,0.003,1.000x,0,0,1,1.000,0,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-1.scen,0.030,0.028,0.933x,1,1,1,0.500,1,1
wh_8x8-5-8-4-0,wh_8x8-5-8-4-2.scen,1.290,1.360,1.054x,179,216,1,0.005,216,1
