dataset,scenario,warm_time_sec,cold_time_sec,cold_over_warm,warm_basis_loads,warm_diff_updates,warm_rebuilds,warm_rebuild_ratio,cold_diff_updates,cold_rebuilds
wh_20x20-5-5-1-0,wh_20x20-5-5-1-0.scen,0.038,0.041,1.079x,0,0,2,1.000,0,2
wh_20x20-5-5-1-0,wh_20x20-5-5-1-10.scen,0.055,0.057,1.036x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-1.scen,0.022,0.022,1.000x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-2.scen,0.057,0.053,0.930x,0,0,2,1.000,0,2
wh_20x20-5-5-1-0,wh_20x20-5-5-1-3.scen,0.041,0.042,1.024x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-4.scen,0.008,0.007,0.875x,0,0,2,1.000,0,2
wh_20x20-5-5-1-0,wh_20x20-5-5-1-5.scen,0.036,0.037,1.028x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-6.scen,0.018,0.020,1.111x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-7.scen,0.046,0.033,0.717x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-8.scen,0.047,0.054,1.149x,0,0,1,1.000,0,1
wh_20x20-5-5-1-0,wh_20x20-5-5-1-9.scen,0.048,0.045,0.938x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-0.scen,0.122,0.114,0.934x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-10.scen,0.083,0.085,1.024x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-1.scen,0.101,0.103,1.020x,0,0,1,1.000,0,1
wh_20x20-7-8-4-0,wh_20x20-7-8-4-2.scen,0.101,0.120,1.188x,0,0,1,1.000,0,1
